name,type,mass,pieces,coordinates,fall_country,weathering_g,shock_stage,mag_sus,fa_content,fs_content,wo_content,tsm,type_spec_loc
Catalina 501,H5,18.8,1,"(-25.081091666666666, -69.9296638888889)",Chile,W1,,5.26,,,,18.8,CEREGE
Catalina 503,H6,29.3,1,"(-25.093780555555554, -69.91487777777779)",Chile,W1,,5.22,,,,29.3,CEREGE
Catalina 504,H5,24.5,1,"(-25.095872222222223, -69.90686666666667)",Chile,W2,,4.95,,,,24.5,CEREGE
Catalina 505,H5,97.8,1,"(-25.086788888888886, -69.9104138888889)",Chile,W1,,5.23,,,,97.8,CEREGE
Catalina 506,H6,20.7,1,"(-25.08310277777778, -69.91269166666667)",Chile,W2,,5.26,,,,20.7,CEREGE
Catalina 507,H5,20.5,1,"(-25.09518611111111, -69.91536388888889)",Chile,W2,,5.20,,,,20.5,CEREGE
Catalina 508,L6,327.4,1,"(-25.09187222222222, -69.91626666666667)",Chile,W2,,4.53,,,,327.4,CEREGE
Catalina 509,L6,37.2,1,"(-25.088180555555553, -69.910375)",Chile,W2,,4.65,,,,37.2,CEREGE
Catalina 510,L6,54.4,1,"(-25.088813888888886, -69.91293333333334)",Chile,W2,,4.44,,,,54.4,CEREGE
Catalina 511,L6,48.4,1,"(-25.086524999999998, -69.91730833333334)",Chile,W2,,4.45,,,,48.4,CEREGE
Catalina 512,H5,45.7,1,"(-25.088094444444444, -69.90400277777778)",Chile,W1,,5.28,,,,45.7,CEREGE
Catalina 513,L6,20.3,1,"(-25.091527777777777, -69.90295)",Chile,W3,,4.46,,,,20.3,CEREGE
Catalina 514,H6,24.3,1,"(-25.096466666666664, -69.91486666666667)",Chile,W2,,5.23,,,,24.3,CEREGE
Catalina 515,H6,160.9,1,"(-25.088247222222222, -69.9216138888889)",Chile,W2,,5.23,,,,160.9,CEREGE
Catalina 516,H56,56.9,2,"(-25.09785833333333, -69.91202777777778)",Chile,W1,,5.10,,,,56.9,CEREGE
Catalina 517,H5,79.0,1,"(-25.09851388888889, -69.91375000000001)",Chile,W1,,5.20,,,,79.0,CEREGE
Catalina 518,H5,143.2,1,"(-25.097077777777777, -69.90889722222222)",Chile,W1,,5.12,,,,143.2,CEREGE
Catalina 519,H6,55.0,1,"(-25.086533333333332, -69.90929166666668)",Chile,W1,,5.23,,,,55.0,CEREGE
Catalina 520,H6,49.1,1,"(-25.085099999999997, -69.9105388888889)",Chile,W3,,4.90,,,,49.1,CEREGE
Catalina 521,L6,76.2,1,"(-25.08731111111111, -69.91210000000001)",Chile,W1,,4.72,,,,76.2,CEREGE
Catalina 522,H6,33.0,1,"(-25.082508333333333, -69.91176666666668)",Chile,W1,,5.12,,,,33.0,CEREGE
Catalina 523,L6,14.7,1,"(-25.081308333333332, -69.91155277777779)",Chile,W2,,4.53,,,,14.7,CEREGE
Catalina 524,H6,48.3,1,"(-25.090677777777778, -69.91683611111111)",Chile,W3,,5.00,,,,48.3,CEREGE
Catalina 525,H5,31.3,2,"(-25.086180555555554, -69.91054166666667)",Chile,W2,,5.16,,,,31.3,CEREGE
Catalina 526,H5,25.2,3,"(-25.08370833333333, -69.91366666666667)",Chile,W1,,5.20,,,,25.2,CEREGE
Catalina 527,H6,50.4,1,"(-25.08117222222222, -69.91002222222222)",Chile,W1,,5.14,,,,50.4,CEREGE
Catalina 528,L56,167.0,21,"(-25.08068888888889, -69.92301388888889)",Chile,W1,,4.45,,,,167.0,CEREGE
Catalina 529,L6,12.4,1,"(-25.074158333333333, -69.93540277777778)",Chile,W2,,4.41,,,,12.4,CEREGE
Catalina 530,LL6,8.2,1,"(-25.07006388888889, -69.93447222222223)",Chile,W2,,3.68,,,,8.2,CEREGE
Catalina 531,H6,51.5,1,"(-25.074516666666668, -69.91409166666668)",Chile,W2,,4.94,,,,51.5,CEREGE
Catalina 532,H5,41.9,1,"(-24.907991666666664, -69.95408888888889)",Chile,W1,,5.11,,,,41.9,CEREGE
Catalina 533,H5,202.5,1,"(-24.909438888888886, -69.95180555555555)",Chile,W1,,5.13,,,,202.5,CEREGE
Catalina 534,H5,26.6,1,"(-25.075491666666668, -69.943)",Chile,W3,,4.89,,,,26.6,CEREGE
Catalina 535,H5,26.7,1,"(-25.082625, -69.9214)",Chile,W1,,5.15,,,,26.7,CEREGE
Catalina 538,H5,92.1,2,"(-25.073552777777778, -69.93862777777778)",Chile,W1,,5.19,,,,92.1,CEREGE
Catalina 539,H5,19.2,2,"(-25.07360277777778, -69.93905000000001)",Chile,W3,,4.77,,,,19.2,CEREGE
Catalina 541,H5,20.5,1,"(-25.072322222222223, -69.93653333333334)",Chile,W1,,5.15,,,,20.5,CEREGE
Catalina 542,L6,75.0,1,"(-25.07346111111111, -69.91363333333334)",Chile,W2,,4.64,25.4,20.6,1.4,75.0,CEREGE
Catalina 543,H5,333.7,1,"(-25.073825, -69.91865)",Chile,W2,,5.03,18.4,15.9,1.11,333.7,CEREGE
Catalina 544,L6,45.7,1,"(-25.080266666666667, -69.92237222222222)",Chile,W2,,4.79,24.6,21.1,1.6,45.7,CEREGE
Catalina 545,L6,25.7,1,"(-25.080330555555555, -69.92223611111112)",Chile,W2,,4.62,24.6,20.8,1.6,25.7,CEREGE
Catalina 546,L6,30.3,1,"(-25.079852777777777, -69.9207638888889)",Chile,W2,,4.74,24.5,20.6,1.4,30.3,CEREGE
Catalina 547,L6,117.2,1,"(-25.080925, -69.92019722222223)",Chile,W2,,4.74,23.8,20.3,1.5,117.2,CEREGE
Catalina 548,H6,99.0,8,"(-25.081130555555557, -69.91732777777779)",Chile,W1,,5.11,,,,99.0,CEREGE
Catalina 549,H6,110.1,6,"(-25.080544444444445, -69.91973888888889)",Chile,W2,,4.84,19.1,16.9,1.5,110.1,CEREGE
